ts_code,trade_date,etf_score,robust_z,score_rank
159662.SZ,2022-12-01,,,
159662.SZ,2022-12-02,,,
159662.SZ,2022-12-05,,,
159662.SZ,2022-12-06,,,
159662.SZ,2022-12-07,,,
159662.SZ,2022-12-08,,,
159662.SZ,2022-12-09,,,
159662.SZ,2022-12-12,,,
159662.SZ,2022-12-13,,,
159662.SZ,2022-12-14,,,
159662.SZ,2022-12-15,,,
159662.SZ,2022-12-16,,,
159662.SZ,2022-12-19,,,
159662.SZ,2022-12-20,,,
159662.SZ,2022-12-21,,,
159662.SZ,2022-12-22,,,
159662.SZ,2022-12-23,,,
159662.SZ,2022-12-26,,,
159662.SZ,2022-12-27,,,
159662.SZ,2022-12-28,0.0212417475914954,0.3325438502984283,0.5
159662.SZ,2022-12-29,0.0939218381337044,0.3523030700312107,0.1666666666666667
159662.SZ,2022-12-30,-0.1683140157433928,-0.6722167830437193,-0.5
159662.SZ,2023-01-03,0.2211372029109148,0.7395575493737636,0.6666666666666667
159662.SZ,2023-01-04,0.0934426594201884,0.4667849483697221,0.3333333333333332
159662.SZ,2023-01-05,0.1188508263634822,0.1051156563211967,0.1666666666666667
159662.SZ,2023-01-06,0.7170767308875013,2.6631135956513687,0.9166666666666669
159662.SZ,2023-01-09,-0.4042212335960818,-0.9753116857162926,-0.75
159662.SZ,2023-01-10,0.3801979011250881,0.8104367736076277,0.6666666666666667
159662.SZ,2023-01-11,0.8972173748327952,4.196075055319709,1.0
159662.SZ,2023-01-12,0.8518971924450142,2.3240718997639047,0.9166666666666669
159662.SZ,2023-01-13,-0.2623071034813178,-0.8311936177280158,-0.75
159662.SZ,2023-01-16,0.2837409742618126,0.8504346765146564,0.5
159662.SZ,2023-01-17,0.2543628585948125,0.934402308005882,0.75
159662.SZ,2023-01-18,0.0327923314526891,-0.0922210033487813,-0.0833333333333333
159662.SZ,2023-01-19,0.2433698561496724,0.7284221606679607,0.5
159662.SZ,2023-01-20,0.3494773054145041,0.566203120002753,0.5
159662.SZ,2023-01-30,0.9961420239537376,1.9425074418659656,0.8333333333333333
159662.SZ,2023-01-31,0.0646950751687496,0.045091540098125,0.1666666666666667
159662.SZ,2023-02-01,0.7258828009020619,2.5119652805573045,0.8333333333333333
159662.SZ,2023-02-02,-0.1029613203360804,-0.6749293136502315,-0.5
159662.SZ,2023-02-03,0.7358247413918321,1.8444990328736433,0.9166666666666669
159662.SZ,2023-02-06,0.1398164024755964,0.0374693390919506,0.25
159662.SZ,2023-02-07,0.3709912242989888,2.017644385036813,0.9166666666666669
159662.SZ,2023-02-08,-0.3018963844369245,-1.1036637102677704,-0.8333333333333334
159662.SZ,2023-02-09,0.3419177488987148,0.7639316267225335,0.3333333333333332
159662.SZ,2023-02-10,0.1402981218708462,0.6855819356312839,0.5833333333333333
159662.SZ,2023-02-13,0.1174483936085021,0.7032583239560152,0.5833333333333333
159662.SZ,2023-02-14,-0.2751804658579712,-0.431600205077258,-0.25
159662.SZ,2023-02-15,0.3743262163183593,0.999234513267468,0.75
159662.SZ,2023-02-16,-0.1245716863551752,0.1666815607429584,0.3333333333333332
159662.SZ,2023-02-17,0.0173562013696841,0.2121589830319297,0.1666666666666667
159662.SZ,2023-02-20,0.1894231874780824,1.0954926876297535,0.8333333333333333
159662.SZ,2023-02-21,0.6151645663768271,2.462982223359656,1.0
159662.SZ,2023-02-22,0.0878529823123125,0.206210297825808,0.3333333333333332
159662.SZ,2023-02-23,0.4487343157007991,1.9208914236531804,0.75
159662.SZ,2023-02-24,-0.0604490098879936,-0.0290730679504839,0.0
159662.SZ,2023-02-27,-0.0240620532236208,-0.7787420710608648,-0.3333333333333333
159662.SZ,2023-02-28,-0.4476130819352674,-1.110572093260777,-0.6666666666666667
159662.SZ,2023-03-01,-0.1608365709387096,0.0039331328784529,0.0833333333333332
159662.SZ,2023-03-02,-0.2679012703945892,-0.6697583316865159,-0.5
159662.SZ,2023-03-03,-0.5668344080453586,-1.9330788820690612,-0.75
159662.SZ,2023-03-06,-0.4983379108211128,-1.5646905150961468,-0.8333333333333334
159662.SZ,2023-03-07,-0.6034869869786101,-2.051752733969755,-0.8333333333333334
159662.SZ,2023-03-08,-0.669086827022656,-1.9599143177736933,-0.9166666666666666
159662.SZ,2023-03-09,-0.8319468236865663,-1.625609151541593,-0.8333333333333334
159662.SZ,2023-03-10,-0.7993707170298492,-2.543290300868463,-0.9166666666666666
159662.SZ,2023-03-13,-1.1790086061808562,-2.426683271071815,-0.75
159662.SZ,2023-03-14,-0.5464110534073348,-1.1046292101598572,-0.5833333333333333
159662.SZ,2023-03-15,-0.7699555273803884,-1.729934861064315,-0.8333333333333334
159662.SZ,2023-03-16,-0.4686866610008587,-0.3252087485236788,-0.25
159662.SZ,2023-03-17,-0.3036067319556921,-0.0474290410455771,0.0
159662.SZ,2023-03-20,0.2191899045998372,0.8760293358291555,0.5833333333333333
159662.SZ,2023-03-21,-0.1233636833855802,-0.3486288361556536,-0.0833333333333333
159662.SZ,2023-03-22,1.090758601028692,3.1023935938653135,1.0
159662.SZ,2023-03-23,0.492449254970652,2.131582083891385,1.0
159662.SZ,2023-03-24,0.990292202574936,4.375855956675508,1.0
159662.SZ,2023-03-27,0.6536458424296512,2.2316262112471144,0.9166666666666669
159662.SZ,2023-03-28,0.3888154222598983,1.4264645384717474,0.8333333333333333
159662.SZ,2023-03-29,-0.2964065378534439,-0.5714742657246634,-0.25
159662.SZ,2023-03-30,-0.5013764749485381,-1.7953749612744845,-0.6666666666666667
