ts_code,trade_date,volatility_ratio,deviation_5d,prev_return,momentum_7d,volume_momentum_7d,momentum_21d,volatility_21d,bias_10d,loss_ratio
512200.SH,2025-07-14,-100.00294999999991,0.004237288135593225,-0.016597510373444035,0.045588235294117485,1.976558280706203,0.06756756756756754,0.012798175207791735,0.024495677233429256,0.803921568627451
512200.SH,2025-07-15,-45.45660000000011,-0.008736085670001385,-0.010548523206751037,0.03991130820399125,1.6984344905880295,0.03532008830022071,0.012506015692688584,0.009687836383207799,0.8235294117647058
512200.SH,2025-07-16,-34.99912499999997,-0.015471167369901716,-0.004975124378109541,0.018181818181818077,0.055378017452397676,0.033973412112259904,0.012537191947866974,0.0017889087656529135,0.4411764705882353
512200.SH,2025-07-17,0.0,-0.010600706713780852,0.0,0.007194244604316502,-0.10658708795663996,0.04712041884816753,0.012117405786567018,-0.0010702818408848068,0.6372549019607843
512200.SH,2025-07-18,64.28999999999995,0.0009946007388463114,0.00642857142857145,0.015861571737563196,0.06063090716909003,0.07557251908396934,0.01099048736186305,0.0013502949328406033,0.5196078431372549
512200.SH,2025-07-21,81.24646249999994,0.01023017902813297,0.009226401703335663,-0.009059233449477455,-0.5724293762498398,0.08549618320610675,0.011026581553006435,0.007224819379515503,0.1568627450980392
512200.SH,2025-07-22,52.63271052631574,0.01936943305528055,0.014064697609001309,-0.0027662517289073207,-0.3258984122089734,0.0957446808510638,0.011244837619757302,0.017642907551164527,0.24509803921568626
512200.SH,2025-07-23,-42.42538787878798,0.0054921841994085546,-0.009708737864077666,0.00421940928270037,0.14114003987222778,0.072072072072072,0.011502264748787535,0.00485539370909852,
512200.SH,2025-07-24,76.19059999999993,0.019410696830051703,0.022408963585434094,0.03766879886282859,0.16969702601990933,0.07828655834564247,0.011903569204043177,0.025568980050575996,
512290.SH,2022-07-25,-27.777866666666643,,,,,,,,0.3543123543123543
512290.SH,2022-07-26,-31.250193749999973,,-0.007757951900698168,,,,,,0.5477855477855478
512290.SH,2022-07-27,-86.66503999999992,,-0.020328381548084473,,,,,,0.4125874125874126
512290.SH,2022-07-28,-38.89172777777822,,-0.005586592178770888,,,,,,0.513953488372093
512290.SH,2022-07-29,-76.47141764705876,-0.029743916017178382,-0.020866773675762507,,,,,,0.8953488372093024
512290.SH,2022-08-01,-11.999920000000042,-0.02091713596138359,-0.0024590163934424814,,,,,,0.5209302325581395
512290.SH,2022-08-02,-87.09794193548412,-0.028730003264773193,-0.022185702547247388,,,,,,0.9559164733178654
512290.SH,2022-08-03,31.816272727272693,-0.014003294892915902,0.005882352941176672,-0.07137315748642348,0.42253209404093317,,,,0.5243619489559165
512290.SH,2022-08-04,111.53738076923067,0.01322314049586778,0.024227234753550375,-0.041438623924941353,-0.23203025746199157,,,,0.09744779582366589
512290.SH,2022-08-05,97.55969756097579,0.0383858267716535,0.03262642740619914,0.010375099760574713,0.08312472714207164,,,0.022369377372203875,0.09722222222222222
512290.SH,2022-08-08,-50.00124545454541,0.0229866318878381,-0.00868878357030023,0.007223113964687,-0.2704118290667954,,,0.01627662158879244,0.24305555555555555
512290.SH,2022-08-09,-11.767470588235359,0.010973051476520944,-0.0015936254980080111,0.027049180327868738,-0.4232350367634924,,,0.016797857664529695,0.7476851851851852
